Tue Mar  6 00:31:29 2018 || Line: 43 || Contextual Name: main || Type: Announce || Description: Opened final.txt || Other: 
Tue Mar  6 00:31:29 2018 || Line: 49 || Contextual Name: main || Type: Announce || Description: Opened final1.txt || Other: 
Tue Mar  6 00:31:29 2018 || Line: 55 || Contextual Name: main || Type: Announce || Description: Con is set to NEW || Other: 
Tue Mar  6 00:31:29 2018 || Line: 88 || Contextual Name: main || Type: Announce || Description: Establishing no content on new line || Other: 
Tue Mar  6 00:31:29 2018 || Line: 91 || Contextual Name: main || Type: Announce || Description: Start Comment || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 110 || Contextual Name: main || Type: Note || Description: Ignoring Excess Space || Other: 
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
Tue Mar  6 00:31:29 2018 || Line: 61 || Contextual Name: main || Type: Announce || Description: Con is set to NO_CONTENT || Other: 
Tue Mar  6 00:31:29 2018 || Line: 147 || Contextual Name: main || Type: Note || Description: Ignoring || Other: Inside Comment
